6714 Sebert Ave, Cleveland, 44105 (5 requests)
Missed Refuse pick up, July 17, 2024, 04:25PM

1017 E 141St St, Cleveland, Oh, 44110 (2 requests)
Vacant Property, June 11, 2024, 05:30PM
Vacant Property, July 10, 2024, 09:44AM

18113 Midvale Ave, Cleveland, Oh, 44135 (2 requests)
Missed Refuse pick up, June 11, 2024, 07:17PM
Missed Refuse pick up, June 11, 2024, 07:18PM

10624 Olivet Ave, Cleveland, Oh, 44108 (2 requests)
Missed Refuse pick up, June 11, 2024, 08:35PM
Recycling Opt-in Program, June 11, 2024, 08:36PM

3393 E 135Th St, Cleveland, Oh, 44120 (2 requests)
Vacant Property, June 12, 2024, 09:25AM
Vacant and Distressed Property, June 15, 2024, 12:49PM

3553 Granton Ave, Cleveland, Oh, 44111 (2 requests)
Scheduled Bulk Pick up, June 12, 2024, 10:04PM
Missed Refuse pick up, July 17, 2024, 04:12PM

9812 Cudell Ave, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, June 12, 2024, 10:26PM
Waste Cart Concerns, June 12, 2024, 10:27PM

7407 Dudley Ave, Cleveland, Oh, 44102 (2 requests)
Rental Inspection Complaint, June 12, 2024, 10:52PM
Illegal Dumping, July 10, 2024, 01:09PM

12628 Carrington Ave, Cleveland, Oh, 44135 (2 requests)
Scheduled Bulk Pick up, June 13, 2024, 01:33AM
Missed Refuse pick up, July 13, 2024, 01:24AM

10602 Earle Ave, Cleveland, Oh, 44108 (2 requests)
Electrical Issue, June 13, 2024, 10:20AM
Electrical Issue, July 24, 2024, 06:45AM

10400 Mount Auburn Ave, Cleveland, Oh, 44104 (2 requests)
Rental Inspection Complaint, June 14, 2024, 07:19AM
Rental Inspection Complaint, June 21, 2024, 11:14AM

1817 Alcoy Rd, Cleveland, Oh, 44112 (2 requests)
No Water/No Hot Water, June 14, 2024, 11:15AM
No Water/No Hot Water, July 04, 2024, 09:07AM

19402 Kilson Ave, Cleveland, Oh, 44135 (2 requests)
Missed Refuse pick up, June 17, 2024, 09:59AM
Dead Animal Pickup, June 17, 2024, 12:37PM

3850 E 65Th St, Cleveland, Oh, 44105 (2 requests)
Vacant Property Open to Entry, June 17, 2024, 12:43PM
Waste Cart Concerns, July 11, 2024, 05:01PM

3772 E 71St St, Cleveland, Oh, 44105 (2 requests)
Vacant Property Open to Entry, June 17, 2024, 12:48PM
Vacant and Distressed Property, June 17, 2024, 12:50PM

4729 E 173Rd St, Cleveland, Oh, 44128 (2 requests)
Vacant Property, June 19, 2024, 12:22PM
Vacant Property, July 11, 2024, 08:39PM

1626 E 77Th St, Cleveland, Oh, 44103 (2 requests)
Missed Refuse pick up, June 19, 2024, 03:15PM
Missed Refuse pick up, July 17, 2024, 08:05PM

4600 Wetzel Ave, Cleveland, Oh, 44109 (2 requests)
Tree Service, June 19, 2024, 05:43PM
Waste Cart Concerns, July 22, 2024, 01:58PM

3166 W 47Th St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, June 19, 2024, 09:45PM
Waste Cart Concerns, June 19, 2024, 09:48PM

14922 Pepper Ave, Cleveland, Oh, 44110 (2 requests)
Waste Cart Concerns, June 20, 2024, 02:53PM
Missing Recycling Welcome Packet, July 22, 2024, 02:57PM

3836 E 140Th St, Cleveland, Oh, 44120 (2 requests)
Waste Cart Concerns, June 20, 2024, 02:58PM
Missed Refuse pick up, June 20, 2024, 02:59PM

3913 Buechner Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, June 20, 2024, 03:24PM
Recycling Opt-in Program, June 20, 2024, 03:27PM

10835 Orville Ave, Cleveland, Oh, 44106 (2 requests)
Vacant Property, June 20, 2024, 03:52PM
Vacant Property Open to Entry, June 20, 2024, 03:51PM

4112 Clybourne Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, June 20, 2024, 07:47PM
Waste Cart Concerns, July 12, 2024, 05:53PM

9200 Boxwood Ave, Cleveland, Oh, 44105 (2 requests)
Missing Recycling Welcome Packet, June 20, 2024, 08:31PM
Missed Refuse pick up, July 06, 2024, 05:27PM

1670 W 69Th St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, June 21, 2024, 02:25PM
Cart Pick Up, July 23, 2024, 07:58PM

2125 W 101St St, Cleveland, Oh, 44102 (2 requests)
Missed Refuse pick up, June 21, 2024, 07:38PM
Missed Refuse pick up, July 05, 2024, 12:43PM

5607 Hege Ave, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, June 21, 2024, 07:57PM
Missing Recycling Welcome Packet, June 21, 2024, 08:02PM

16505 Chatfield Ave, Cleveland, Oh, 44111 (2 requests)
Fallen or Hanging Branch, June 24, 2024, 08:43AM
Tree Service, July 25, 2024, 12:43PM

16504 Melgrave Ave, Cleveland, Oh, 44135 (2 requests)
Tree Service, June 24, 2024, 12:27PM
Fallen or Hanging Branch, June 24, 2024, 12:29PM

19501 Harsax Ave, Cleveland, Oh, 44135 (2 requests)
Waste Cart Concerns, June 24, 2024, 01:25PM
Cart Pick Up, June 26, 2024, 12:32PM

3575 W 65Th St, Cleveland, Oh, 44102 (2 requests)
Vacant Property, June 24, 2024, 01:47PM
Waste Cart Concerns, July 16, 2024, 03:31PM

1195 E 113Th St, Cleveland, Oh, 44108 (2 requests)
Vacant Property Open to Entry, June 24, 2024, 02:11PM
Vacant Property, June 24, 2024, 02:12PM

3666 E 131St St, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, June 24, 2024, 02:39PM
Waste Cart Concerns, June 27, 2024, 09:28AM

2356 E 86Th St, Cleveland, Oh, 44106 (2 requests)
Vacant Property, June 24, 2024, 02:55PM
Illegal Dumping, June 24, 2024, 03:00PM

3842 E 146Th St, Cleveland, Oh, 44128 (2 requests)
Vacant and Distressed Property, June 24, 2024, 03:10PM
Vacant Property Open to Entry, June 24, 2024, 03:11PM

3597 E 135Th St, Cleveland, Oh, 44120 (2 requests)
Vacant Property, June 24, 2024, 04:40PM
Vacant Property, June 24, 2024, 04:42PM

3417 E 103Rd St, Cleveland, Oh, 44104 (2 requests)
Vacant and Distressed Property, June 24, 2024, 04:45PM
Vacant Property Open to Entry, July 22, 2024, 12:42AM

3981 W 157Th St, Cleveland, Oh, 44111 (2 requests)
Missed Refuse pick up, June 24, 2024, 05:36PM
Missing Recycling Welcome Packet, June 24, 2024, 05:41PM

4059 St Clair Ave, Cleveland, Oh, 44114 (2 requests)
Damaged or Missing traffic Sign, June 24, 2024, 08:43PM
Debris in Street, July 21, 2024, 12:09PM

1358 Penhurst Rd, Cleveland, Oh, 44110 (2 requests)
Cart Pick Up, June 24, 2024, 09:04PM
Waste Cart Concerns, June 24, 2024, 09:05PM

14612 Kingsford Ave, Cleveland, Oh, 44128 (2 requests)
Vacant Property, June 25, 2024, 06:48AM
General Exterior Maintenance/Fence/Outbuildings, July 24, 2024, 08:03PM

1874 W 45Th St, Cleveland, Oh, 44102 (2 requests)
Early Set Out-Carts Left Out After Collection, June 25, 2024, 10:49AM
Waste Cart Concerns, July 01, 2024, 07:07PM

4276 E 71St St, Cleveland, Oh, 44105 (2 requests)
Parks Maintenance, June 25, 2024, 01:00PM
Parks Maintenance, June 25, 2024, 01:06PM

16305 Invermere Ave, Cleveland, Oh, 44128 (2 requests)
Missed Refuse pick up, June 25, 2024, 01:20PM
Fallen or Hanging Branch, July 25, 2024, 12:30PM

4169 Feiner Dr, Cleveland, Oh, 44122 (2 requests)
Waste Cart Concerns, June 25, 2024, 04:00PM
Waste Cart Concerns, July 24, 2024, 05:50PM

3376 W 95Th St, Cleveland, Oh, 44102 (2 requests)
Rental Inspection Complaint, June 25, 2024, 06:10PM
Rental Inspection Complaint, July 22, 2024, 01:19PM

1372 E 115Th St, Cleveland, Oh, 44106 (2 requests)
Waste Cart Concerns, June 25, 2024, 06:33PM
Waste Cart Concerns, June 25, 2024, 06:38PM

13208 Bellaire Rd, Cleveland, Oh, 44135 (2 requests)
Waste Cart Concerns, June 25, 2024, 06:36PM
Cart Pick Up, July 03, 2024, 01:29PM

1342 E 88Th St, Cleveland, Oh, 44106 (2 requests)
Vacant and Distressed Property, June 25, 2024, 06:38PM
Vacant Property Open to Entry, June 25, 2024, 06:40PM

3489 W 118Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, June 25, 2024, 07:07PM
Cart Pick Up, June 25, 2024, 07:09PM

3200 Audubon Blvd, Cleveland, Oh, 44104 (2 requests)
Fallen or Hanging Branch, June 25, 2024, 08:41PM
Tree Service, June 25, 2024, 08:44PM

1422 E 112Th St, Cleveland, Oh, 44106 (2 requests)
Vacant and Distressed Property, June 26, 2024, 11:50AM
Vacant Property Open to Entry, June 26, 2024, 11:51AM

11211 Knowlton Ave, Cleveland, Oh, 44106 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, June 26, 2024, 11:57AM
Vacant and Distressed Property, June 26, 2024, 12:10PM

3379 W 135Th St, Cleveland, Oh, 44111 (2 requests)
Missed Refuse pick up, June 26, 2024, 12:57PM
Missed Refuse pick up, June 26, 2024, 06:38PM

3550 E 142Nd St, Cleveland, Oh, 44120 (2 requests)
Waste Cart Concerns, June 26, 2024, 01:09PM
Cart Pick Up, July 09, 2024, 06:40PM

3625 Dawning Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, June 26, 2024, 01:38PM
Waste Cart Concerns, July 16, 2024, 07:30PM

1804 W 45Th St, Cleveland, Oh, 44102 (2 requests)
No Permit, June 26, 2024, 01:38PM
General Exterior Maintenance/Fence/Outbuildings, July 15, 2024, 08:45PM

9711 Stoughton Ave, Cleveland, Oh, 44104 (2 requests)
Waste Cart Concerns, June 26, 2024, 01:58PM
Waste Cart Concerns, July 17, 2024, 02:45PM

4277 E 164Th St, Cleveland, Oh, 44128 (2 requests)
Early Set Out-Carts Left Out After Collection, June 26, 2024, 03:29PM
Early Set Out-Carts Left Out After Collection, July 16, 2024, 09:09PM

833 Gino Ln, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, June 26, 2024, 04:06PM
Waste Cart Concerns, June 27, 2024, 07:55PM

4221 Newark Ave, Cleveland, Oh, 44109 (2 requests)
Vacant Property Open to Entry, June 26, 2024, 04:11PM
Vacant Property Open to Entry, June 27, 2024, 12:13AM

751 E 128Th St, Cleveland, Oh, 44108 (2 requests)
Vacant Property Open to Entry, June 26, 2024, 06:36PM
Vacant Property, June 26, 2024, 06:36PM

1250 E 108Th St, Cleveland, Oh, 44108 (2 requests)
Illegal Dumping, June 26, 2024, 07:17PM
Vacant Property, July 16, 2024, 02:45PM

5208 Barkwill Ave, Cleveland, Oh, 44127 (2 requests)
Vacant Property Open to Entry, June 27, 2024, 02:39AM
Illegal Dumping, July 09, 2024, 06:12PM

3962 Brookside Blvd, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, June 27, 2024, 06:44AM
Spills-Trash in Street or Treelawn, July 23, 2024, 05:19PM

8917 Beckman Ave, Cleveland, Oh, 44104 (2 requests)
Vacant Property, June 27, 2024, 03:09PM
Tree Service, June 27, 2024, 03:11PM

3832 E 55Th St, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, June 27, 2024, 03:27PM
Waste Cart Concerns, June 27, 2024, 03:28PM

4421 Burger Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, June 27, 2024, 03:48PM
Waste Cart Concerns, July 03, 2024, 12:11PM

6602 Fleet Ave, Cleveland, Oh, 44105 (2 requests)
Vacant Property Open to Entry, June 27, 2024, 03:58PM
General Exterior Maintenance/Fence/Outbuildings, June 27, 2024, 04:01PM

3683 West Park Rd, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, June 27, 2024, 04:50PM
Missing Recycling Welcome Packet, July 18, 2024, 06:15PM

3421 E 123Rd St, Cleveland, Oh, 44120 (2 requests)
Tree Service, June 27, 2024, 07:18PM
Vacant Property, June 27, 2024, 07:20PM

3581 E 104Th St, Cleveland, Oh, 44105 (2 requests)
Illegal Dumping, June 27, 2024, 07:23PM
Waste Cart Concerns, July 17, 2024, 04:38PM

3911 E 147Th St, Cleveland, Oh, 44128 (2 requests)
Vacant Property, June 27, 2024, 08:11PM
Vacant Property, July 23, 2024, 05:58PM

7505 Elton Ave, Cleveland, Oh, 44102 (2 requests)
Vacant Property Open to Entry, June 27, 2024, 10:59PM
Vacant Property Open to Entry, June 30, 2024, 01:47PM

7014 Clark Ave, Cleveland, Oh, 44102 (2 requests)
Vacant Property, June 27, 2024, 11:17PM
General Exterior Maintenance/Fence/Outbuildings, July 02, 2024, 03:21PM

3679 West Park Rd, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, June 28, 2024, 01:03PM
Cart Pick Up, July 03, 2024, 03:33PM

2774 E 117Th St, Cleveland, Oh, 44120 (2 requests)
Illegal Dumping, June 28, 2024, 03:10PM
General Exterior Maintenance/Fence/Outbuildings, July 11, 2024, 04:36PM

4008 Fulton Ct, Cleveland, Oh, 44113 (2 requests)
Vacant and Distressed Property, June 28, 2024, 03:32PM
Illegal Dumping, June 28, 2024, 03:33PM

2962 E 67Th St, Cleveland, Oh, 44127 (2 requests)
Vacant Property Open to Entry, June 28, 2024, 04:16PM
Vacant and Distressed Property, July 02, 2024, 06:19PM

3981 Wendy Dr, Cleveland, Oh, 44122 (2 requests)
Vacant Property, June 28, 2024, 05:40PM
Vacant Property, July 08, 2024, 07:44PM

11449 Carolina Rd, Cleveland, Oh, 44108 (2 requests)
Waste Cart Concerns, June 28, 2024, 07:22PM
Waste Cart Concerns, June 28, 2024, 07:25PM

4403 Riverside Ave, Cleveland, Oh, 44102 (2 requests)
Missed Refuse pick up, June 28, 2024, 07:37PM
Missed Refuse pick up, July 12, 2024, 01:18AM

4197 Lee Rd, Cleveland, Oh, 44128 (2 requests)
Vacant Property Open to Entry, June 28, 2024, 08:20PM
Vacant Property, June 28, 2024, 08:21PM

14000 Kinsman Rd, Cleveland, Oh, 44120 (2 requests)
Traffic Signal Repair, June 29, 2024, 01:51PM
Traffic Signal Repair, July 02, 2024, 06:50PM

16111 Arcade Ave, Cleveland, Oh, 44110 (2 requests)
Waste Cart Concerns, June 29, 2024, 03:48PM
Recycling Opt-in Program, June 29, 2024, 03:50PM

4781 W 32Nd St, Cleveland, Oh, 44109 (2 requests)
Early Set Out-Carts Left Out After Collection, June 29, 2024, 06:39PM
Early Set Out-Carts Left Out After Collection, July 02, 2024, 07:05PM

11405 Hazeldell Dr, Cleveland, Oh, 44108 (2 requests)
Waste Cart Concerns, July 01, 2024, 12:27PM
Waste Cart Concerns, July 03, 2024, 12:41PM

1953 W 112Th St, Cleveland, Oh, 44102 (2 requests)
Graffiti Removal, July 01, 2024, 01:22PM
Damaged or Missing traffic Sign, July 12, 2024, 01:12PM

3190 W 165Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 01, 2024, 02:10PM
Missing Recycling Welcome Packet, July 01, 2024, 02:12PM

3104 Erin Ave, Cleveland, Oh, 44113 (2 requests)
Vacant Property Open to Entry, July 01, 2024, 02:37PM
Vacant Property, July 01, 2024, 02:41PM

3068 Erin Ave, Cleveland, Oh, 44113 (2 requests)
Vacant Property Open to Entry, July 01, 2024, 02:38PM
Vacant Property, July 01, 2024, 02:43PM

3301 W 165Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 01, 2024, 03:21PM
Cart Pick Up, July 03, 2024, 12:24PM

18401 Windward Rd, Cleveland, Oh, 44119 (2 requests)
Waste Cart Concerns, July 01, 2024, 04:15PM
Missing Recycling Welcome Packet, July 01, 2024, 04:16PM

3823 W 34Th St, Cleveland, Oh, 44109 (2 requests)
Vacant Property Open to Entry, July 01, 2024, 04:22PM
Vacant and Distressed Property, July 02, 2024, 04:15PM

1249 Addison Rd, Cleveland, Oh, 44103 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 01, 2024, 04:34PM
Illegal Use of Property, July 09, 2024, 09:24AM

16321 Stockbridge Ave, Cleveland, Oh, 44128 (2 requests)
Vacant Property, July 01, 2024, 05:10PM
Vacant Property, July 10, 2024, 05:47PM

3395 E 140Th St, Cleveland, Oh, 44120 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 01, 2024, 07:10PM
General Exterior Maintenance/Fence/Outbuildings, July 18, 2024, 04:09PM

3976 E 71St St, Cleveland, Oh, 44105 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 01, 2024, 07:25PM
Vacant Property Open to Entry, July 09, 2024, 01:07PM

1615 Denison Ave, Cleveland, Oh, 44109 (2 requests)
No Heat, July 01, 2024, 07:43PM
No Permit, July 02, 2024, 01:57PM

3414 Riverside Ave, Cleveland, Oh, 44109 (2 requests)
Vacant Property, July 01, 2024, 08:16PM
Vacant Property Open to Entry, July 10, 2024, 03:36PM

15403 Walden Ave, Cleveland, Oh, 44128 (2 requests)
Missed Refuse pick up, July 02, 2024, 01:22PM
Missed Refuse pick up, July 05, 2024, 01:38PM

17818 Delavan Ave, Cleveland, Oh, 44119 (2 requests)
Missed Refuse pick up, July 02, 2024, 01:45PM
Waste Cart Concerns, July 25, 2024, 03:42PM

4679 W 146Th St, Cleveland, Oh, 44135 (2 requests)
Missed Refuse pick up, July 02, 2024, 02:47PM
Missed Refuse pick up, July 09, 2024, 06:27PM

4223 Stickney Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 02, 2024, 04:27PM
Waste Cart Concerns, July 05, 2024, 06:57PM

3585 E 112Th St, Cleveland, Oh, 44105 (2 requests)
Electrical Issue, July 02, 2024, 05:29PM
Rental Inspection Complaint, July 02, 2024, 05:38PM

4396 E 175Th St, Cleveland, Oh, 44128 (2 requests)
Vacant Property, July 02, 2024, 05:34PM
Vacant Property, July 22, 2024, 09:37AM

3319 E 117Th St, Cleveland, Oh, 44120 (2 requests)
Waste Cart Concerns, July 02, 2024, 06:34PM
Waste Cart Concerns, July 02, 2024, 06:35PM

3464 E 108Th St, Cleveland, Oh, 44104 (2 requests)
Vacant Property, July 02, 2024, 07:46PM
Vacant Property Open to Entry, July 12, 2024, 12:39PM

7606 Broadway Ave, Cleveland, Oh, 44105 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 02, 2024, 08:48PM
Vacant Property Open to Entry, July 03, 2024, 01:58PM

3578 Independence Rd, Cleveland, Oh, 44105 (2 requests)
Tree Service, July 02, 2024, 09:13PM
No Permit, July 19, 2024, 01:05PM

677 E 128Th St, Cleveland, Oh, 44108 (2 requests)
Missed Refuse pick up, July 03, 2024, 12:43PM
Missed Refuse pick up, July 16, 2024, 01:36AM

2769 E 127Th St, Cleveland, Oh, 44120 (2 requests)
Large Set Out or Eviction, July 03, 2024, 12:54PM
Vacant Property, July 08, 2024, 07:41PM

3084 W 105Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 03, 2024, 01:00PM
Waste Cart Concerns, July 03, 2024, 01:01PM

11409 Mount Overlook Ave, Cleveland, Oh, 44104 (2 requests)
Vacant Property, July 03, 2024, 02:17PM
Vacant Property Open to Entry, July 16, 2024, 03:01PM

4136 E 114Th St, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, July 03, 2024, 03:17PM
Waste Cart Concerns, July 23, 2024, 01:59PM

1600 E 27Th St, Cleveland, Oh, 44114 (2 requests)
Tire Pick up, July 03, 2024, 03:44PM
Tire Pick up, July 11, 2024, 01:10PM

905 Rudyard Rd, Cleveland, Oh, 44110 (2 requests)
Rental Inspection Complaint, July 03, 2024, 04:14PM
Electrical Issue, July 03, 2024, 04:16PM

12904 Holborn Ave, Cleveland, Oh, 44105 (2 requests)
Vacant and Distressed Property, July 03, 2024, 05:24PM
Vacant Property, July 03, 2024, 05:25PM

5519 Mound Ave, Cleveland, Oh, 44105 (2 requests)
Illegal Dumping, July 03, 2024, 06:02PM
Vacant Property Open to Entry, July 10, 2024, 07:11AM

3306 West Blvd, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 04, 2024, 08:09PM
Waste Cart Concerns, July 04, 2024, 08:11PM

2158 Murray Hill Rd, Cleveland, Oh, 44106 (2 requests)
Waste Cart Concerns, July 05, 2024, 02:16PM
Waste Cart Concerns, July 05, 2024, 02:57PM

4900 Bader Ave, Cleveland, Oh, 44109 (2 requests)
Missed Refuse pick up, July 05, 2024, 03:06PM
Cart Pick Up, July 18, 2024, 12:26PM

4533 Broadale Rd, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 05, 2024, 03:49PM
Missing Recycling Welcome Packet, July 05, 2024, 03:51PM

3247 W 92Nd St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 05, 2024, 04:43PM
Waste Cart Concerns, July 05, 2024, 04:45PM

9114 Marshall Ave, Cleveland, Oh, 44104 (2 requests)
Missed Refuse pick up, July 05, 2024, 07:30PM
Missed Refuse pick up, July 19, 2024, 05:09PM

9407 Benham Ave, Cleveland, Oh, 44105 (2 requests)
Missed Refuse pick up, July 06, 2024, 07:52PM
Missed Refuse pick up, July 10, 2024, 03:51PM

16108 Grovewood Ave, Cleveland, Oh, 44110 (2 requests)
Scheduled Bulk Pick up, July 08, 2024, 10:07AM
Missed Refuse pick up, July 11, 2024, 02:12PM

2825 Silverdale Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 08, 2024, 12:12PM
Missing Recycling Welcome Packet, July 22, 2024, 12:54PM

1087 E 171St St, Cleveland, Oh, 44119 (2 requests)
Waste Cart Concerns, July 08, 2024, 01:06PM
Waste Cart Concerns, July 08, 2024, 01:07PM

1549 E 85Th St, Cleveland, Oh, 44106 (2 requests)
Waste Cart Concerns, July 08, 2024, 06:00PM
Waste Cart Concerns, July 10, 2024, 12:37PM

3110 W 159Th St, Cleveland, Oh, 44111 (2 requests)
Tree Service, July 08, 2024, 06:38PM
Tree Service, July 08, 2024, 06:40PM

12430 Phillips Ave, Cleveland, Oh, 44108 (2 requests)
Vacant Property, July 08, 2024, 06:57PM
General Exterior Maintenance/Fence/Outbuildings, July 08, 2024, 06:58PM

17115 Eldamere Ave, Cleveland, Oh, 44128 (2 requests)
Waste Cart Concerns, July 08, 2024, 07:00PM
Missed Refuse pick up, July 11, 2024, 10:47PM

1982 E 126Th St, Cleveland, Oh, 44106 (2 requests)
Waste Cart Concerns, July 08, 2024, 07:30PM
Waste Cart Concerns, July 10, 2024, 02:55PM

16612 Fairfax Ave, Cleveland, Oh, 44128 (2 requests)
Vacant Property Open to Entry, July 08, 2024, 08:14PM
Vacant Property, July 24, 2024, 03:52PM

3217 E 132Nd St, Cleveland, Oh, 44120 (2 requests)
Waste Cart Concerns, July 09, 2024, 11:54AM
Waste Cart Concerns, July 09, 2024, 11:54AM

3110 W 84Th St, Cleveland, Oh, 44102 (2 requests)
Vacant Property, July 09, 2024, 02:27PM
General Exterior Maintenance/Fence/Outbuildings, July 09, 2024, 02:30PM

2601 W 14Th St, Cleveland, Oh, 44113 (2 requests)
Large Set Out or Eviction, July 09, 2024, 02:52PM
Waste Cart Concerns, July 10, 2024, 08:06PM

17302 Woodbury Ave, Cleveland, Oh, 44135 (2 requests)
No Permit, July 09, 2024, 04:08PM
General Exterior Maintenance/Fence/Outbuildings, July 14, 2024, 11:09PM

11424 Carolina Rd, Cleveland, Oh, 44108 (2 requests)
Vacant Property Open to Entry, July 09, 2024, 04:13PM
Vacant and Distressed Property, July 15, 2024, 02:22PM

1199 E 114Th St, Cleveland, Oh, 44108 (2 requests)
Vacant Property Open to Entry, July 09, 2024, 04:18PM
Vacant and Distressed Property, July 15, 2024, 02:24PM

7503 Redell Ave, Cleveland, Oh, 44103 (2 requests)
Vacant Property, July 09, 2024, 04:52PM
Vacant and Distressed Property, July 09, 2024, 04:53PM

7505 Redell Ave, Cleveland, Oh, 44103 (2 requests)
Vacant Property, July 09, 2024, 04:55PM
Vacant and Distressed Property, July 09, 2024, 04:54PM

4425 W 49Th St, Cleveland, Oh, 44144 (2 requests)
Waste Cart Concerns, July 09, 2024, 04:59PM
Missing Recycling Welcome Packet, July 13, 2024, 01:36AM

3085 W 105Th St, Cleveland, Oh, 44111 (2 requests)
Tree Service, July 09, 2024, 06:04PM
Scheduled Bulk Pick up, July 17, 2024, 03:23PM

2009 Corning Ave, Cleveland, Oh, 44109 (2 requests)
Vacant Property Open to Entry, July 09, 2024, 06:39PM
Vacant Property Open to Entry, July 10, 2024, 06:19PM

2982 E 59Th St, Cleveland, Oh, 44127 (2 requests)
Vacant and Distressed Property, July 09, 2024, 06:49PM
General Exterior Maintenance/Fence/Outbuildings, July 18, 2024, 01:12PM

4891 Lee Rd, Cleveland, Oh, 44128 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 09, 2024, 08:57PM
Vacant Property, July 10, 2024, 01:25PM

3686 West Blvd, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 10, 2024, 12:46PM
Cart Pick Up, July 24, 2024, 06:23PM

1709 W 69Th St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 10, 2024, 01:53PM
Waste Cart Concerns, July 10, 2024, 01:54PM

9117 Connecticut Ave, Cleveland, Oh, 44105 (2 requests)
Tire Pick up, July 10, 2024, 02:22PM
Waste Cart Concerns, July 10, 2024, 02:28PM

4017 E 123Rd St, Cleveland, Oh, 44105 (2 requests)
Vacant Property, July 10, 2024, 02:31PM
Vacant and Distressed Property, July 25, 2024, 01:26PM

4343 Rocky River Dr, Cleveland, Oh, 44135 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 10, 2024, 03:08PM
Illegal Use of Property, July 10, 2024, 03:38PM

3107 Colburn Ave, Cleveland, Oh, 44109 (2 requests)
Vacant Property Open to Entry, July 10, 2024, 05:29PM
Vacant Property Open to Entry, July 17, 2024, 07:02PM

7001 Indiana Ave, Cleveland, Oh, 44105 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 10, 2024, 07:07PM
Vacant Property, July 12, 2024, 02:36PM

2986 E 111Th St, Cleveland, Oh, 44104 (2 requests)
Tree Service, July 11, 2024, 12:55PM
Illegal Dumping, July 11, 2024, 01:00PM

4294 E 133Rd St, Cleveland, Oh, 44105 (2 requests)
Vacant Property, July 11, 2024, 02:37PM
Illegal Dumping, July 24, 2024, 02:28PM

11309 Dove Ave, Cleveland, Oh, 44105 (2 requests)
Vacant and Distressed Property, July 11, 2024, 03:59PM
Vacant Property, July 11, 2024, 07:55PM

6014 Belvidere Ave, Cleveland, Oh, 44103 (2 requests)
Illegal Dumping, July 11, 2024, 04:32PM
Vacant and Distressed Property, July 11, 2024, 06:42PM

1012 E 77Th St, Cleveland, Oh, 44103 (2 requests)
Illegal Dumping, July 11, 2024, 05:57PM
General Exterior Maintenance/Fence/Outbuildings, July 11, 2024, 06:29PM

3726 W 41St St, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 11, 2024, 08:30PM
Waste Cart Concerns, July 11, 2024, 08:32PM

4222 E 128Th St, Cleveland, Oh, 44105 (2 requests)
Spills-Trash in Street or Treelawn, July 12, 2024, 01:06AM
Large Set Out or Eviction, July 15, 2024, 12:08AM

9908 Dunlap Ave, Cleveland, Oh, 44105 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 12, 2024, 02:04PM
Tree Service, July 12, 2024, 02:08PM

3340 W 98Th St, Cleveland, Oh, 44102 (2 requests)
Missed Refuse pick up, July 12, 2024, 05:15PM
